Date,Open,High,Low,Close,Volume,average,barCount
2025-08-25,644.03,645.29,642.35,642.47,33074061.0,644.102,219964
2025-08-26,642.18,645.51,641.57,645.16,31222330.0,643.493,193003
2025-08-27,644.57,647.37,644.42,646.63,30536598.0,646.319,197496
2025-08-28,647.27,649.48,645.34,648.92,38879524.0,647.808,234897
2025-08-29,647.46,647.84,643.14,645.05,48216872.0,644.721,296803
2025-09-02,637.53,640.49,634.92,640.27,50380304.0,638.004,299937
2025-09-03,642.65,644.21,640.46,643.74,47258571.0,642.36,305673
2025-09-04,644.43,649.15,643.51,649.12,41372549.0,646.546,265381
2025-09-05,651.44,652.21,643.33,647.24,57300641.0,646.993,361695
2025-09-08,648.62,649.84,647.23,648.83,40842057.0,648.483,259039
2025-09-09,648.96,650.86,647.22,650.33,39500196.0,649.208,251916
2025-09-10,653.63,654.55,650.63,652.21,49290361.0,652.684,321049
2025-09-11,654.18,658.33,653.59,657.63,45454585.0,656.818,296188
2025-09-12,657.59,659.11,656.9,657.41,47602702.0,657.967,299837
2025-09-15,659.6,661.04,659.34,660.91,44792103.0,660.288,270625
2025-09-16,661.44,661.78,659.21,660.0,40832003.0,660.214,263326
2025-09-17,660.01,661.72,654.3,659.18,65243509.0,658.879,428071
2025-09-18,661.88,664.89,660.27,662.26,57144114.0,662.837,371857
2025-09-19,662.33,664.55,660.37,663.7,50994150.0,662.609,325037
2025-09-22,662.19,667.29,662.17,666.84,47374254.0,665.394,300943
2025-09-23,666.71,667.34,661.98,663.21,54364809.0,664.464,365458
2025-09-24,664.5,664.61,659.67,661.1,46827389.0,661.609,311965
2025-09-25,657.98,659.41,654.4,658.05,60120853.0,657.327,384870
2025-09-26,659.51,662.37,657.88,661.82,44668545.0,660.576,273419
2025-09-29,664.36,665.28,661.86,663.68,49239315.0,663.518,319689
2025-09-30,662.92,666.65,661.61,666.18,53692264.0,664.019,347251
2025-10-01,663.16,669.37,663.06,668.45,47251970.0,666.806,296178
2025-10-02,670.47,670.57,666.78,669.22,38311790.0,668.833,248781
2025-10-03,669.99,672.68,668.16,669.21,48610665.0,670.491,325648
2025-10-06,671.63,672.51,669.45,671.61,37161494.0,671.31,265389
2025-10-07,672.55,672.99,667.67,669.12,52330430.0,669.612,356975
2025-10-08,670.26,673.21,669.42,673.11,41164584.0,672.067,273032
2025-10-09,673.52,673.94,669.21,671.16,46506604.0,671.02,303714
2025-10-10,672.15,673.95,652.84,653.02,108789482.0,662.283,681081
2025-10-13,660.65,665.13,659.76,663.04,53229936.0,662.333,362942
2025-10-14,657.18,665.83,653.17,662.23,58228073.0,661.038,391412
2025-10-15,666.82,670.23,658.93,665.17,51717289.0,665.246,319415
2025-10-16,666.84,668.71,657.11,660.64,69972661.0,662.683,459830
2025-10-17,659.52,665.76,658.14,664.39,52521196.0,662.081,340819
2025-10-20,667.3,672.21,667.27,671.3,35642392.0,670.705,233604
2025-10-21,671.46,672.99,669.98,671.29,36528805.0,671.762,249796
2025-10-22,671.98,672.01,663.3,667.8,53975018.0,667.586,343405
2025-10-23,668.09,672.72,667.8,671.76,39402078.0,670.855,254675
2025-10-24,676.46,678.47,675.65,677.25,39772141.0,677.541,251234
2025-10-27,682.73,685.54,682.11,685.24,40726218.0,683.809,260632
2025-10-28,687.07,688.91,684.83,687.06,38330375.0,686.898,246560
2025-10-29,688.71,689.7,682.87,687.39,54157463.0,687.168,349863
2025-10-30,683.91,685.94,679.83,679.83,45806498.0,683.003,298271
2025-10-31,685.04,685.08,679.24,682.06,50646595.0,682.678,317005
2025-11-03,685.66,685.8,679.94,683.34,40745110.0,682.922,406473
2025-11-04,676.11,679.96,674.58,675.24,55052837.0,676.55,551381
2025-11-05,675.0,680.86,674.17,677.58,50267080.0,678.439,461227
2025-11-06,676.46,677.38,668.72,670.31,63978387.0,672.021,605354
